tissue_block_id,dataset_id,renal_pyramid,cell_type,x,y,z
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0627687,0.269905,-0.117633
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0569149,0.265578,-0.114937
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0598294,0.267816,-0.119692
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0506362,0.283382,-0.114262
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0462826,0.288777,-0.114366
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0527316,0.282318,-0.113201
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0622338,0.263973,-0.122552
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0623534,0.27554,-0.123887
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0593433,0.265316,-0.118268
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0531158,0.285585,-0.11548
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.050631,0.285666,-0.115984
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0642726,0.269182,-0.117342
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0570059,0.267215,-0.11618
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0557879,0.27846,-0.108976
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0607047,0.266424,-0.113399
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0628401,0.265005,-0.11469
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0554687,0.278164,-0.104766
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0623568,0.275359,-0.12206
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0617722,0.265454,-0.123735
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.060725,0.277076,-0.123581
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0546793,0.278314,-0.106695
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0576368,0.286138,-0.119858
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0545263,0.285168,-0.119608
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0627735,0.273784,-0.126518
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0613075,0.272348,-0.115557
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0622003,0.262765,-0.114617
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0592744,0.277839,-0.11343
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0543755,0.284666,-0.11435
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0592748,0.277483,-0.122146
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0614196,0.278327,-0.120311
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0628072,0.264712,-0.122858
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0600663,0.273783,-0.116908
HBM482.CTJH.452,HBM797.PDPS.368,VH_F_renal_pyramid_R_a,Afferent / Efferent Arteriole Endothelial,-0.0621656,0.276785,-0.115388
